"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_common_questions.dart", "Dart", 136, 0, 10, 146
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_details.dart", "Dart", 311, 4, 28, 343
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_questions.dart", "Dart", 122, 10, 18, 150
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\screens\event_tickets.dart", "Dart", 169, 6, 17, 192
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\widgets\create_question.dart", "Dart", 206, 7, 15, 228
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_creation\widgets\create_ticket.dart", "Dart", 113, 4, 12, 129
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_exploration\screens\explore.dart", "Dart", 610, 2, 31, 643
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_exploration\screens\filter_events.dart", "Dart", 210, 10, 15, 235
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_details.dart", "Dart", 286, 0, 25, 311
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_questions.dart", "Dart", 207, 3, 16, 226
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_registrations.dart", "Dart", 98, 0, 10, 108
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\edit_tickets.dart", "Dart", 420, 6, 30, 456
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\event_report.dart", "Dart", 145, 2, 12, 159
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\manage_event.dart", "Dart", 126, 6, 9, 141
"c:\Users\isaac\dev\Capstone-Project\Capstone-Frontend\lib\event_management\screens\organiser_dashboard_home.dart", "Dart", 69, 2, 12, 83
